date,time,ticker,mark,bid,ask
01/26/2022,09:20:55,ETH,2641.960491,2635.920000,2648.000983
01/26/2022,09:21:00,ETH,2640.400426,2634.580000,2646.220853
01/26/2022,09:21:05,ETH,2639.500519,2633.411038,2645.590000
01/26/2022,09:21:10,ETH,2638.028366,2631.947367,2644.109365
01/26/2022,09:21:15,ETH,2638.290376,2632.260753,2644.320000
01/26/2022,09:21:20,ETH,2638.814009,2632.842658,2644.785361
01/26/2022,09:21:25,ETH,2637.478314,2631.500000,2643.456628
01/26/2022,09:21:30,ETH,2636.565000,2630.840000,2642.290000
01/26/2022,09:21:35,ETH,2635.946253,2630.132506,2641.760000
01/26/2022,09:21:40,ETH,2636.457213,2630.690000,2642.224427
01/26/2022,09:21:45,ETH,2637.403502,2631.707005,2643.100000
01/26/2022,09:21:50,ETH,2638.601248,2632.500000,2644.702497
01/26/2022,09:21:55,ETH,2638.775000,2632.900000,2644.650000
01/26/2022,09:22:00,ETH,2638.795000,2632.960000,2644.630000
01/26/2022,09:22:05,ETH,2637.266421,2631.138546,2643.394296
01/26/2022,09:22:10,ETH,2636.260000,2630.490000,2642.030000
01/26/2022,09:22:15,ETH,2636.486015,2630.470000,2642.502031
01/26/2022,09:22:20,ETH,2634.240000,2627.980000,2640.500000
01/26/2022,09:22:25,ETH,2631.468349,2625.470000,2637.466699
01/26/2022,09:22:30,ETH,2631.565744,2625.701488,2637.430000
01/26/2022,09:22:35,ETH,2634.411190,2628.580000,2640.242381
01/26/2022,09:22:40,ETH,2632.595000,2626.900000,2638.290000
01/26/2022,09:22:45,ETH,2632.595264,2626.680000,2638.510529
01/26/2022,09:22:50,ETH,2632.365000,2626.550000,2638.180000
01/26/2022,09:22:55,ETH,2632.290380,2626.270761,2638.310000
01/26/2022,09:23:00,ETH,2633.520000,2627.800000,2639.240000
01/26/2022,09:23:05,ETH,2635.408319,2629.500000,2641.316638
01/26/2022,09:23:10,ETH,2634.702753,2628.693416,2640.712090
01/26/2022,09:23:15,ETH,2632.893363,2626.727181,2639.059546
01/26/2022,09:23:20,ETH,2632.530301,2626.570000,2638.490602
01/26/2022,09:23:25,ETH,2633.075000,2627.100000,2639.050000
01/26/2022,09:23:30,ETH,2632.109348,2626.330000,2637.888696
01/26/2022,09:23:35,ETH,2631.075000,2625.030000,2637.120000
01/26/2022,09:23:40,ETH,2631.050000,2625.130000,2636.970000
01/26/2022,09:23:45,ETH,2630.933765,2625.110000,2636.757530
01/26/2022,09:23:50,ETH,2631.645000,2625.690000,2637.600000
01/26/2022,09:23:55,ETH,2630.384082,2624.588164,2636.180000
01/26/2022,09:24:00,ETH,2630.757538,2624.700000,2636.815077
01/26/2022,09:24:05,ETH,2630.620000,2624.650000,2636.590000
01/26/2022,09:24:10,ETH,2630.201754,2624.063509,2636.340000
01/26/2022,09:24:15,ETH,2629.987107,2623.946985,2636.027230
01/26/2022,09:24:20,ETH,2626.893907,2620.847815,2632.940000
01/26/2022,09:24:25,ETH,2628.174662,2622.222083,2634.127242
01/26/2022,09:24:30,ETH,2628.345000,2622.570000,2634.120000
01/26/2022,09:24:35,ETH,2630.210000,2624.320000,2636.100000
01/26/2022,09:24:40,ETH,2629.807918,2624.040000,2635.575836
01/26/2022,09:24:45,ETH,2629.734695,2623.859390,2635.610000
01/26/2022,09:24:50,ETH,2628.080549,2621.961099,2634.200000
01/26/2022,09:24:55,ETH,2626.924432,2620.811095,2633.037769
01/26/2022,09:25:00,ETH,2625.857272,2619.984544,2631.730000
01/26/2022,09:25:05,ETH,2625.427548,2619.450000,2631.405096
01/26/2022,09:25:10,ETH,2624.967482,2618.851583,2631.083381
01/26/2022,09:25:15,ETH,2623.330262,2617.166481,2629.494043
01/26/2022,09:25:20,ETH,2623.046433,2617.092866,2629.000000
01/26/2022,09:25:25,ETH,2624.165000,2618.490000,2629.840000
01/26/2022,09:25:30,ETH,2622.235000,2616.380000,2628.090000
01/26/2022,09:25:35,ETH,2621.022861,2615.160000,2626.885723
01/26/2022,09:25:40,ETH,2619.708989,2613.710000,2625.707979
01/26/2022,09:25:45,ETH,2619.321391,2613.520000,2625.122783
01/26/2022,09:25:50,ETH,2617.774230,2611.700000,2623.848460
01/26/2022,09:25:55,ETH,2617.694625,2611.809250,2623.580000
01/26/2022,09:26:00,ETH,2618.025000,2612.250000,2623.800000
01/26/2022,09:26:05,ETH,2617.785000,2612.370000,2623.200000
01/26/2022,09:26:10,ETH,2614.648770,2608.987540,2620.310000
01/26/2022,09:26:15,ETH,2615.928940,2610.257881,2621.600000
01/26/2022,09:26:20,ETH,2615.770000,2610.240000,2621.300000
01/26/2022,09:26:25,ETH,2617.700000,2611.900000,2623.500000
01/26/2022,09:26:30,ETH,2616.395000,2610.400000,2622.390000
01/26/2022,09:26:35,ETH,2617.475000,2611.810000,2623.140000
01/26/2022,09:26:40,ETH,2616.260000,2610.600000,2621.920000
01/26/2022,09:26:45,ETH,2616.025000,2610.450000,2621.600000
01/26/2022,09:26:50,ETH,2617.637385,2611.974770,2623.300000
01/26/2022,09:26:55,ETH,2618.190000,2612.880000,2623.500000
01/26/2022,09:27:00,ETH,2617.446917,2612.070000,2622.823835
